"CAMPAIGN: CMP_01"
"List ID #101: ESP 70K soufiane 0104 TEST"
"***NO CALLS FOUND FROM 2026-04-17 00:00:00 TO 2026-04-17 23:59:59***"

"List ID #102: Base Adil 0604"
"***NO CALLS FOUND FROM 2026-04-17 00:00:00 TO 2026-04-17 23:59:59***"

"List ID #103: 100K ESP 0604 SOUFIANE PART2"
"***NO CALLS FOUND FROM 2026-04-17 00:00:00 TO 2026-04-17 23:59:59***"

"List ID #104: EXT FICH SERV 51 MIXT"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"NA","2192","00:00:00","00:00:00.0000"
"AB","1122","00:00:00","00:00:00.0000"
"AA","100","00:00:05","00:00:00.0500"
"XFER","31","00:24:20","00:00:47.0967"
"SHCALL","29","00:03:18","00:00:06.8275"
"DROP","28","00:01:29","00:00:03.1785"
"PDROP","25","00:00:00","00:00:00.0000"

"List ID #105: FICHE ESP 090426 P2"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"NA","5167","00:00:00","00:00:00.0000"
"AB","4745","00:00:00","00:00:00.0000"
"AA","202","00:00:12","00:00:00.0594"
"XFER","136","01:20:09","00:00:35.3602"
"SHCALL","111","00:15:22","00:00:08.3063"
"DROP","101","00:06:26","00:00:03.8217"
"ADC","57","00:00:00","00:00:00.0000"
"PDROP","30","00:00:00","00:00:00.0000"

"List ID #106: EXTRACT SERV 141 P1"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"NA","5206","00:00:00","00:00:00.0000"
"AB","4218","00:00:00","00:00:00.0000"
"AA","253","00:00:11","00:00:00.0434"
"XFER","143","01:17:08","00:00:32.3636"
"SHCALL","106","00:13:45","00:00:07.7830"
"DROP","74","00:04:49","00:00:03.9054"
"ADC","59","00:00:00","00:00:00.0000"
"PDROP","58","00:00:00","00:00:00.0000"

"List ID #107: FICHE ESP 090426 P3"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"AB","21316","00:00:00","00:00:00.0000"
"NA","18698","00:00:00","00:00:00.0000"
"AA","881","00:00:47","00:00:00.0533"
"XFER","568","06:26:41","00:00:40.8468"
"SHCALL","356","00:44:38","00:00:07.5224"
"ADC","275","00:00:00","00:00:00.0000"
"DROP","270","00:19:48","00:00:04.4000"
"PDROP","126","00:00:00","00:00:00.0000"

"List ID #108: SOUFIANE 150K ESP132 P2"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"AB","40977","00:00:00","00:00:00.0000"
"NA","36422","00:00:00","00:00:00.0000"
"AA","2023","00:01:59","00:00:00.0588"
"XFER","1123","12:12:33","00:00:39.1389"
"SHCALL","794","01:38:26","00:00:07.4382"
"ADC","594","00:00:00","00:00:00.0000"
"DROP","584","00:39:14","00:00:04.0308"
"PDROP","274","00:00:00","00:00:00.0000"

"List ID #109: 50K SRCE SOUF 100K 170426  P1"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"NA","20904","00:00:00","00:00:00.0000"
"AB","17823","00:00:00","00:00:00.0000"
"AA","7699","00:06:36","00:00:00.0514"
"ADC","2319","00:00:00","00:00:00.0000"
"XFER","1373","14:05:33","00:00:36.9504"
"SHCALL","1030","02:11:08","00:00:07.6388"
"DROP","677","00:54:17","00:00:04.8109"
"PDROP","241","00:00:00","00:00:00.0000"

