"CAMPAIGN: CMP_01"
"List ID #101: ESP 70K soufiane 0104 TEST"
"***NO CALLS FOUND FROM 2026-04-20 00:00:00 TO 2026-04-20 23:59:59***"

"List ID #102: Base Adil 0604"
"***NO CALLS FOUND FROM 2026-04-20 00:00:00 TO 2026-04-20 23:59:59***"

"List ID #103: 100K ESP 0604 SOUFIANE PART2"
"***NO CALLS FOUND FROM 2026-04-20 00:00:00 TO 2026-04-20 23:59:59***"

"List ID #104: EXT FICH SERV 51 MIXT"
"***NO CALLS FOUND FROM 2026-04-20 00:00:00 TO 2026-04-20 23:59:59***"

"List ID #105: FICHE ESP 090426 P2"
"***NO CALLS FOUND FROM 2026-04-20 00:00:00 TO 2026-04-20 23:59:59***"

"List ID #106: EXTRACT SERV 141 P1"
"***NO CALLS FOUND FROM 2026-04-20 00:00:00 TO 2026-04-20 23:59:59***"

"List ID #107: FICHE ESP 090426 P3"
"***NO CALLS FOUND FROM 2026-04-20 00:00:00 TO 2026-04-20 23:59:59***"

"List ID #108: SOUFIANE 150K ESP132 P2"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"AB","2444","00:00:00","00:00:00.0000"
"NA","2039","00:00:00","00:00:00.0000"
"AA","67","00:00:05","00:00:00.0746"
"XFER","59","00:37:05","00:00:39.0350"
"ADC","43","00:00:00","00:00:00.0000"
"SHCALL","38","00:04:21","00:00:06.8684"
"DROP","31","00:02:02","00:00:03.9354"
"PDROP","14","00:00:00","00:00:00.0000"

"List ID #109: 50K SRCE SOUF 100K 170426  P1"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"AB","1173","00:00:00","00:00:00.0000"
"NA","956","00:00:00","00:00:00.0000"
"AA","160","00:00:05","00:00:00.0312"
"ADC","95","00:00:00","00:00:00.0000"
"XFER","45","00:28:52","00:00:40.2790"
"SHCALL","33","00:03:57","00:00:07.1818"
"DROP","30","00:02:34","00:00:05.1333"
"PDROP","7","00:00:00","00:00:00.0000"

