"CAMPAIGN: CMP_01"
"List ID #101: ESP 70K soufiane 0104 TEST"
"***NO CALLS FOUND FROM 2026-04-20 00:00:00 TO 2026-04-20 23:59:59***"

"List ID #102: Base Adil 0604"
"***NO CALLS FOUND FROM 2026-04-20 00:00:00 TO 2026-04-20 23:59:59***"

"List ID #103: 100K ESP 0604 SOUFIANE PART2"
"***NO CALLS FOUND FROM 2026-04-20 00:00:00 TO 2026-04-20 23:59:59***"

"List ID #104: EXT FICH SERV 51 MIXT"
"***NO CALLS FOUND FROM 2026-04-20 00:00:00 TO 2026-04-20 23:59:59***"

"List ID #105: FICHE ESP 090426 P2"
"***NO CALLS FOUND FROM 2026-04-20 00:00:00 TO 2026-04-20 23:59:59***"

"List ID #106: EXTRACT SERV 141 P1"
"***NO CALLS FOUND FROM 2026-04-20 00:00:00 TO 2026-04-20 23:59:59***"

"List ID #107: FICHE ESP 090426 P3"
"***NO CALLS FOUND FROM 2026-04-20 00:00:00 TO 2026-04-20 23:59:59***"

"List ID #108: SOUFIANE 150K ESP132 P2"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"AB","9845","00:00:00","00:00:00.0000"
"NA","8392","00:00:00","00:00:00.0000"
"AA","300","00:00:12","00:00:00.0400"
"XFER","191","02:06:31","00:00:39.7434"
"ADC","184","00:00:00","00:00:00.0000"
"SHCALL","171","00:20:57","00:00:07.3508"
"DROP","126","00:08:54","00:00:04.2380"
"PDROP","46","00:00:00","00:00:00.0000"
"QUEUE","1","NULL","NULL"

"List ID #109: 50K SRCE SOUF 100K 170426  P1"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"AB","4522","00:00:00","00:00:00.0000"
"NA","3983","00:00:00","00:00:00.0000"
"AA","570","00:00:19","00:00:00.0333"
"ADC","351","00:00:00","00:00:00.0000"
"XFER","156","01:42:05","00:00:39.2628"
"SHCALL","144","00:17:28","00:00:07.2777"
"DROP","121","00:09:54","00:00:04.9090"
"PDROP","32","00:00:00","00:00:00.0000"
"QUEUE","1","NULL","NULL"

