"CAMPAIGN: CMP_01"
"List ID #101: ESP 70K soufiane 0104 TEST"
"***NO CALLS FOUND FROM 2026-04-21 00:00:00 TO 2026-04-21 23:59:59***"

"List ID #102: Base Adil 0604"
"***NO CALLS FOUND FROM 2026-04-21 00:00:00 TO 2026-04-21 23:59:59***"

"List ID #103: 100K ESP 0604 SOUFIANE PART2"
"***NO CALLS FOUND FROM 2026-04-21 00:00:00 TO 2026-04-21 23:59:59***"

"List ID #104: EXT FICH SERV 51 MIXT"
"***NO CALLS FOUND FROM 2026-04-21 00:00:00 TO 2026-04-21 23:59:59***"

"List ID #105: FICHE ESP 090426 P2"
"***NO CALLS FOUND FROM 2026-04-21 00:00:00 TO 2026-04-21 23:59:59***"

"List ID #106: EXTRACT SERV 141 P1"
"***NO CALLS FOUND FROM 2026-04-21 00:00:00 TO 2026-04-21 23:59:59***"

"List ID #107: FICHE ESP 090426 P3"
"***NO CALLS FOUND FROM 2026-04-21 00:00:00 TO 2026-04-21 23:59:59***"

"List ID #108: SOUFIANE 150K ESP132 P2"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"NA","12053","00:00:00","00:00:00.0000"
"AB","8255","00:00:00","00:00:00.0000"
"AA","352","00:00:27","00:00:00.0767"
"XFER","301","03:12:01","00:00:38.4033"
"DROP","153","00:10:10","00:00:03.9869"
"SHCALL","145","00:15:52","00:00:06.5655"
"PDROP","83","00:00:00","00:00:00.0000"
"ADC","69","00:00:00","00:00:00.0000"

"List ID #109: 50K SRCE SOUF 100K 170426  P1"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"NA","5217","00:00:00","00:00:00.0000"
"AB","3615","00:00:00","00:00:00.0000"
"AA","361","00:00:20","00:00:00.0554"
"XFER","221","02:00:34","00:00:33.0319"
"SHCALL","190","00:22:47","00:00:07.1947"
"DROP","134","00:10:09","00:00:04.5447"
"ADC","85","00:00:00","00:00:00.0000"
"PDROP","43","00:00:00","00:00:00.0000"
"QUEUE","2","NULL","NULL"

