"CAMPAIGN: CMP_01"
"List ID #101: ESP 70K soufiane 0104 TEST"
"***NO CALLS FOUND FROM 2026-04-22 00:00:00 TO 2026-04-22 23:59:59***"

"List ID #102: Base Adil 0604"
"***NO CALLS FOUND FROM 2026-04-22 00:00:00 TO 2026-04-22 23:59:59***"

"List ID #103: 100K ESP 0604 SOUFIANE PART2"
"***NO CALLS FOUND FROM 2026-04-22 00:00:00 TO 2026-04-22 23:59:59***"

"List ID #104: EXT FICH SERV 51 MIXT"
"***NO CALLS FOUND FROM 2026-04-22 00:00:00 TO 2026-04-22 23:59:59***"

"List ID #105: FICHE ESP 090426 P2"
"***NO CALLS FOUND FROM 2026-04-22 00:00:00 TO 2026-04-22 23:59:59***"

"List ID #106: EXTRACT SERV 141 P1"
"***NO CALLS FOUND FROM 2026-04-22 00:00:00 TO 2026-04-22 23:59:59***"

"List ID #107: FICHE ESP 090426 P3"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"NA","38184","00:00:00","00:00:00.0000"
"AB","26503","00:00:00","00:00:00.0000"
"AA","1994","00:01:34","00:00:00.0471"
"XFER","1810","17:57:43","00:00:35.7451"
"SHCALL","827","01:39:44","00:00:07.2357"
"DROP","741","00:48:07","00:00:03.8960"
"PDROP","165","00:00:00","00:00:00.0000"
"ADC","137","00:00:00","00:00:00.0000"

"List ID #108: SOUFIANE 150K ESP132 P2"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"NA","41364","00:00:00","00:00:00.0000"
"AB","32377","00:00:00","00:00:00.0000"
"AA","1026","00:00:58","00:00:00.0565"
"XFER","817","07:49:43","00:00:34.5803"
"SHCALL","488","00:54:54","00:00:06.7500"
"DROP","486","00:30:46","00:00:03.7983"
"PDROP","120","00:00:00","00:00:00.0000"
"ADC","46","00:00:00","00:00:00.0000"

"List ID #109: 50K SRCE SOUF 100K 170426  P1"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"NA","12531","00:00:00","00:00:00.0000"
"AB","7421","00:00:00","00:00:00.0000"
"AA","805","00:00:43","00:00:00.0534"
"SHCALL","551","01:01:51","00:00:06.7350"
"XFER","520","04:50:35","00:00:33.5288"
"DROP","382","00:30:04","00:00:04.7225"
"PDROP","46","00:00:00","00:00:00.0000"

